Test size: 1000
MySQL,0.6829,1000
PostgreSQL,0.5845,1000
Cassandra,1.0178,1000
MongoDB,0.0988,1000
Test size: 10000
MySQL,6.1365,10000
PostgreSQL,5.3479,10000
Cassandra,9.4622,10000
MongoDB,0.2423,10000
Test size: 50000
MySQL,30.4827,50000
PostgreSQL,26.8431,50000
Cassandra,48.7672,50000
MongoDB,0.5349,50000
Test size: 100000
MySQL,60.4267,100000
PostgreSQL,58.3464,100000
Cassandra,95.8888,100000
MongoDB,1.0355,100000
Test size: 500000
MySQL,309.0538,500000
PostgreSQL,282.9505,500000
MongoDB,8.1564,500000
Test size: 1000000
MySQL,599.6035,1000000
PostgreSQL,537.9498,1000000
Cassandra,945.5979,1000000
MongoDB,10.9887,1000000
Test size: 5000000
MySQL,3312.6526,5000000
PostgreSQL,2731.1289,5000000
